DATAFLOW,LAST UPDATE,freq,indic_to,c_resid,unit,cities,TIME_PERIOD,OBS_VALUE
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES004C,2020,264316
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES004C,2021,358286
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES004C,2022,965879
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES004C,2023,1265371
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES006C,2018,744018
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES006C,2019,916479
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES006C,2020,278886
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES006C,2021,480945
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES006C,2022,1091690
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES006C,2023,1499433
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES008C,2018,221314
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES008C,2019,216332
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES008C,2020,112389
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES008C,2021,158128
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES008C,2022,281429
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES008C,2023,344469
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES010C,2018,262614
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES010C,2019,267402
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES010C,2020,78599
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES010C,2021,171615
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES010C,2022,284588
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES010C,2023,272741
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES021C,2018,315136
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES021C,2019,390313
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES021C,2020,123211
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES021C,2021,207990
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES021C,2022,439208
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES021C,2023,540810
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES024C,2018,115087
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES024C,2019,126237
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES024C,2020,65228
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES024C,2021,100675
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES024C,2022,165315
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES024C,2023,192322
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES032C,2018,151638
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES032C,2019,176715
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES032C,2020,58584
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES032C,2021,103557
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES032C,2022,240388
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES032C,2023,295734
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES033C,2018,20547
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES033C,2019,22131
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES033C,2020,6470
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES033C,2021,10052
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES033C,2022,18413
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES033C,2023,21724
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES044C,2018,284105
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES044C,2019,302701
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES044C,2020,81937
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES044C,2021,119173
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES044C,2022,346663
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES044C,2023,434344
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES048C,2018,151117
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES048C,2019,182422
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES048C,2020,54732
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES048C,2021,85125
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES048C,2022,218473
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES048C,2023,298483
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES052C,2018,177654
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES052C,2019,220396
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES052C,2020,70514
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES052C,2021,111851
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES052C,2022,264039
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES052C,2023,344382
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES060C,2018,25125
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES060C,2019,31998
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES060C,2020,10489
ESTAT:TOUR_CE_OARC(1.0),17/07/24 11:00:00,A,LSTY,FOR,NR,ES060C,2021,19494
